Indicador;Setor;Curso;Nota;ID;Justificativa;Categoria_Bardin;Tags_IA;Pontos_Negativos
1.2;Campus  Politécnico;MATEMÁTICA INDUSTRIAL (Bacharelado);4,00;2251358;Mas também incorpora diversas experiências educacionais em outros ambientes) características locais e regionais (principalmente as demandas e exigências do mercado de trabalho).;Formalização da Inovação e Diferenciação;"[""#articulacao_teoria_pratica_vaga"", ""#formalizacao_curricular_insuficiente"", ""#contextualizacao_regional_generica""]";A justificativa apresenta fragmentação textual e falta de clareza sobre como as experiências em 'outros ambientes' e as demandas do mercado são sistematicamente integradas ao currículo. A vagueza na descrição sugere uma fragilidade na formalização documental e na articulação entre a teoria e a prática regional.
1.4;Campus  Politécnico;LETRAS PORTUGUÊS (Bacharelado);3,00;2324555;Apesar de constar no PPC (2019) descrição sobre o perfil do egresso pretendido para o Curso de Letras - Português, não há a formaliza Diversos, Semana Acadêmica, Laboratórios de Edição, Clube do Livro, Oficinas de Leitura, desenvolvem as competências requeridas ao futuro profission: Quantidade de notas < 5: 9 Média destas notas: 3.78 Termos Frequentes: curricular(35), formação(30), horas(29), disciplinas(26), prática(23), estrutura(16), atividades(15), articulação(14), apresenta(13), teoria(12), extensão(12), carga(11), eixo(11), libras(10), ofertadas(10);Projeto Pedagógico e Curricular;"[""#ausencia_de_formalizacao_curricular"", ""#articulacao_teoria_pratica"", ""#inadequacao_carga_horaria""]";"Falta de formalização de atividades complementares e práticas (como laboratórios e oficinas) no PPC; deficiência na articulação entre teoria e prática; problemas na distribuição da carga horária e estruturação curricular de eixos obrigatórios, como Libras e Extensão."
1.4;Campus  Politécnico;MATEMÁTICA INDUSTRIAL (Bacharelado);4,00;2251358;Conforme documentos disponibilizados pela IES, a estrutura curricular do Curso de Matemática Industrial (Bacharelado) apresenta um rol de 49 disciplinas a serem ofertadas de forma optativa (os discentes precisam cursar pelo menos 5), dentre as quais a disciplina “Comunicação em Língua Brasileira de Sinais — Libras/Fundamentos da educação bilingue para surdos. A estrutura curricular, com carga horária de 2420 horas, é constituída de um conjunto de disciplinas organizadas e articuladas da seguinte forma: Ciclo Básico (1020 horas), Ciclo Profissionalizante (900 horas), Disciplinas Optativas (mínimo de 300 horas), Atividades Formativas (mínimo de 200 horas). Informações obtidas em documentos e reuniões realizadas evidenciam que a estrutura curricular implementada considera a flexibilidade e a interdisciplinaridade. Busca-se estabelecer práticas pedagógicas que promovem a relação entre teoria e prática, principalmente por meio resolução de problemas concretos e estudos de casos específicos relacionados aos saberes inerentes ao curso.;Projeto Pedagógico e Curricular;"[""#interdisciplinaridade_generica"", ""#ausencia_de_inovacao_curricular"", ""#articulacao_teorico_pratica_insuficiente""]";A justificativa apresenta uma descrição meramente formal e burocrática da estrutura curricular, focando em cargas horárias mínimas e cumprimento legal (Libras como optativa). Carece de evidências qualitativas sobre como a interdisciplinaridade e a relação teoria-prática são efetivamente monitoradas e validadas, tratando o desenvolvimento de competências industriais de forma genérica ('busca-se estabelecer') sem demonstrar excelência ou inovação acadêmica que justifique a nota máxima.
1.4;Campus Reitoria;CIÊNCIAS EXATAS QUÍMICA (Licenciatura);4,00;2297803;Mas também para a familiarização dos estudantes com atividades formativas mediadas por tecnologias digitais, fortalecendo a proposta pedagógica do curso. Aliás, a estrutura curricular conta com um elemento a mais para sua integração no campo das ciências exatas, vez que o curso, ora ofertado, articula saberes diversos, de distintas ciências, numa direção holística da formação. Considera, plenamente, a transversalidade, a interdisciplinaridade, a acessibilidade (tanto física, quanto motora e cognitiva), para além da acessibilidade metodológica. Não obstante, não restou evidenciada a existência de elementos comprovadamente inovadores.;Formalização da Inovação e Diferenciação;"[""#ausencia_de_inovacao"", ""#falta_de_evidencias"", ""#diferenciacao_pedagogica_insuficiente""]";Ausência de comprovação documental ou evidências práticas de elementos inovadores na proposta pedagógica, impedindo o curso de atingir o conceito máximo (5) apesar de atender aos requisitos básicos de acessibilidade e interdisciplinaridade.
1.4;Centro Politécnico;LETRAS PORTUGUÊS (Bacharelado);4,00;2324555;"A matriz curricular descrita no item 8 do PPC (Edição de 2019), informa que o Curso de Bacharelado em Letras Português t Optativas, refere-se ao conjunto de disciplinas obrigatórias a oferta sistemática de disciplinas optativas, de livre escolha dos alunos, em cujo espaço discipl PPC (2019), do curso consta a Representação Gráfica do Perfil de Formação. Por se tratar de Curso de Bacharelado a disciplina de LIBRAS, não está cont PPC do curso consta a Representação Gráfica do Perfil de Formação e no Anexo V a descrição de todas as ementas com a indicação bibliográfica básica e estrangeiras; pela manhã, existem as opções de Alemão e Espanhol; à noite, as de Francês, Japonês e Polonês. (inclusive há uma Associação de Poloneses) Programa da Curricularização da Extensão, amplamente discutido pelo NDE, comprovado pelas atas de reunião, está em trâmite jurídico nos órgãos colegi";Projeto Pedagógico e Curricular;"[""#curricularizacao_da_extensao_pendente"", ""#ausencia_de_libras"", ""#estruturacao_curricular_incompleta""]";A curricularização da extensão ainda se encontra em trâmite jurídico/administrativo, não estando plenamente implementada ou consolidada no PPC. Além disso, a ausência da disciplina de LIBRAS no Bacharelado (embora legalmente facultativa, é pontuada em avaliações de excelência) e a descrição confusa sobre a oferta sistemática de optativas indicam fragilidades na estrutura curricular.
1.4;Complexo Hospital de Clínicas;Pedagogia (Licenciatura);4,00;2324552;Mas não apresenta elementos comprovadamente inovadores.;Formalização da Inovação e Diferenciação;"[""#ausencia_de_inovacao"", ""#falta_de_diferencial"", ""#evidencias_insuficientes""]";"Ausência de comprovação documental ou prática de metodologias, tecnologias ou processos pedagógicos que se destaquem do padrão regulatório; falta de diferenciais competitivos ou disruptivos no projeto do curso."
1.4;Juvevê;MEDICINA (Bacharelado);3,00;2132838;A estrutura curricular do curso de Medicina da UFPR apresentada no PPC, está implementada desde 2019 e considera parcialmente os requisitos de flexibilidade, interdisciplinaridade, acessibilidade metodológica e compatibilidade de carga horária total (8140 Horas). O curso é organizado em uma matriz tradicional, composta por disciplinas. No PPC não é detalhada a teoria pedagógica que fundamenta a integração dos conteúdos e a interdisciplinaridade. Além da disciplina de LIBRAS ofertada como núcleo específico optativo, outras disciplinas elencadas na matriz curricular como optativas demonstram, de certa forma, a acessibilidade. A articulação entre teoria e prática profissional é incipiente e ocorre em alguns momentos do curso, como na disciplina “Território e Saúde” do 1º Período, onde o aluno desenvolve atividades práticas relevantes com a comunidade. A partir da análise do PPC e das evidências coletadas na reunião com a Coordenação do Curso e na reunião com Docentes, não ficou demonstrada de que forma se dá a articulação entre os componentes curriculares e a integração longitudinal e transversal dos saberes, para a facilitação da aprendizagem do raciocínio clínico e a compreensão holística, como exemplos de elementos inovadores, no percurso de formação. 3;Projeto Pedagógico e Curricular;"[""#integracao_curricular_deficiente"", ""#articulacao_teoria_pratica_incipiente"", ""#ausencia_elementos_inovadores""]";"Atendimento apenas parcial aos requisitos de flexibilidade e interdisciplinaridade; matriz curricular excessivamente tradicional com fundamentação pedagógica insuficiente no PPC para a integração de conteúdos; articulação incipiente entre teoria e prática profissional; e falta de evidências sobre a integração longitudinal e transversal dos saberes e de elementos inovadores no percurso formativo."
1.5;Campus  Politécnico;MATEMÁTICA INDUSTRIAL (Bacharelado);4,00;2251358;Os conteúdos curriculares desenvolvidos ao longo do curso, conforme documentos disponibilizados pela TES e informações obtidas em reuniões realizadas, possibilitam o pleno desenvolvimento do perfil profissional de egresso estabelecido no PPC (2020). Esses conteúdos estão adequados a carga horária disponível e a bibliografia básica e complementar expressa nos planos de ensino. Os conteúdos curriculares são atuais e são implementados por meio de um conjunto de ações educativas que compreendem disciplinas, estágios, atividades complementares, iniciação à pesquisa e extensão, dentre outras. Os conteúdos também estão de acordo com a legislação vigente abrangendo o ensino-aprendizagem de temáticas inerentes às políticas de educação ambiental, de educação em direitos humanos, de educação das relações étnico-raciais e o ensino de história e cultura afro-brasileira, africana e indígena. Na matriz curricular consta a oferta obrigatória da disciplina Temas Transversais onde essas temáticas são abordadas. A acessibilidade metodológica ocorre na medida em que são consideradas diferentes formas de aprender e o uso de técnicas, recursos e procedimentos diferenciados, tais como, a exposição interativa dialogada, práticas de pesquisa, a realização de seminários, trabalhos em equipe, uso de mídias diversas, resolução de problemas, entre outras.;Formalização da Inovação e Diferenciação;"[""#transversalidade_compartimentada"", ""#ausencia_de_inovacao"", ""#metodologias_convencionais""]";Embora o texto apresente conformidade, a nota 4,00 indica que não foram atingidos os critérios de excelência para a nota máxima (5). As fragilidades implícitas incluem: a abordagem dos temas transversais de forma compartimentada em uma única disciplina (faltando a integração orgânica em todo o currículo) e a descrição de metodologias de ensino e recursos que, embora adequados, são convencionais e carecem de caráter inovador ou de diferenciais tecnológicos específicos para a área de Matemática Industrial.
1.5;Complexo Hospital de Clínicas;LETRAS PORTUGUÊS (Bacharelado);4,00;2324555;O currículo promove a realização plena das habilidades necessárias para a implementação do perfil profissional do egresso, Cultura Afro-Brasileira e Indígena) na sociedade contemporânea, a prática pedagógica da formação evidenciadas nos relatos testemunhais.;Projeto Pedagógico e Curricular;"[""#evidencias_subjetivas"", ""#ausencia_de_inovacao"", ""#fragilidade_documental""]";A justificativa baseia-se em 'relatos testemunhais' em vez de evidências documentais sólidas ou indicadores de desempenho objetivos. Além disso, o texto é genérico e não aponta elementos de inovação ou diferenciação institucional que justifiquem a nota máxima (5), limitando-se a declarar o cumprimento do perfil do egresso e temas transversais obrigatórios.
1.6;Campus  Politécnico;MEDICINA (Bacharelado);3,00;2132838;No entanto, ainda prevalece ações pautadas pelo modelo hospitalocêntrico. Adicionalmente, os conteúdos curriculares são tradicionais, e apresentam fragilidades em relação à RESOLUÇÃO CNE/CES Nº 7 de 18/12/2018 (Extensão) e RESOLUÇÃO CNE/CES Nº 3, DE 3 DE NOVEMBRO DE 2022 (Alteração das DCNs). No contexto dos conteúdos curriculares pelos motivos expostos anteriormente, não é possível afirmar que estes diferenciem o curso dentro da área profissional. Quantidade de notas < 5: 6 Média destas notas: 3.33 Termos Frequentes: metodologia(18), prática(15), atividades(10), formação(8), utilizada(7), pesquisa(7), trabalhos(7), aulas(7), disciplinas(7), desenvolvimento(6), teoria(6), extensão(6), integração(6), discentes(6), projetos(6);Projeto Pedagógico e Curricular;"[""#descumprimento_DCN"", ""#curricularizacao_da_extensao"", ""#modelo_hospitalocentrico""]";"Prevalência de modelo de ensino hospitalocêntrico em oposição à atenção integral; currículo excessivamente tradicional e sem diferenciação competitiva; descumprimento das exigências legais de curricularização da extensão (Resolução CNE/CES nº 7/2018) e das novas Diretrizes Curriculares Nacionais de Medicina (Resolução CNE/CES nº 3/2022)."
1.6;Campus  Politécnico;MATEMÁTICA INDUSTRIAL (Bacharelado);4,00;2251358;As metodologias, expressas no PPC (2020) estão fundamentadas, principalmente nos princípios de indissociabilidade do ensino, da pesquisa e da extensão, bem como na integração teoria e prática, na interdisciplinaridade e flexibilidade e nos recursos e conhecimentos tecnológicos. Informações disponíveis em documentos e obtidas em reuniões realizadas evidenciam que esses fundamentos coadunam com as práticas pedagógicas implementadas nos diferentes componentes curriculares. As metodologias desenvolvidas são diversificadas, atendem a diferentes formas de aprender, são compatíveis com os conteúdos trabalhados e promovem a autonomia dos discentes. As principais ações metodológicas ocorrem por meio de aulas expositivas dialogadas apoiadas em bibliografia especializada e atualizada, leitura, debate e produção de textos sobre as diversas temáticas estudadas, pesquisas bibliográficas, estudos de caso, atividades didáticas individuais e coletivas, seminários, trabalhos em grupo, resolução de exercícios, observação e sistematização de práticas cotidianas, e atividades que aproximam o aluno do mercado de trabalho.;Formalização da Inovação e Diferenciação;"[""#metodologias_tradicionais"", ""#ausencia_de_inovacao"", ""#baixa_especificidade_tecnologica""]";Embora o texto descreva uma execução satisfatória, a justificativa revela a predominância de métodos convencionais (aulas expositivas, resolução de exercícios e seminários), carecendo de evidências sobre inovação pedagógica, metodologias ativas disruptivas ou diferenciais tecnológicos específicos que elevem o curso ao conceito máximo (5). A descrição é genérica e não detalha como a 'autonomia' e o 'uso de tecnologias' se traduzem em práticas de vanguarda.
1.6;Juvevê;MEDICINA (Bacharelado);3,00;2132838;No entanto, nas reunião com a Coordenação do Curso e com os Docentes, ficou caracterizada a utilização de metodologia tradicional de ensino em grande parte do percurso de formação, e a adoção de metodologias inovadoras no processo de ensino-aprendizagem, em momentos pontuais. Ainda assim, a metodologia utilizada atende ao desenvolvimento de conteúdos, às estratégias de aprendizagem e ao contínuo acompanhamento das atividades, no entanto, verificou-se que a metodologia não se coaduna com práticas pedagógicas que estimulam a ação discente em uma relação teoria-prática, como observado nas falas dos alunos, na reunião com a comissão.;Projeto Pedagógico e Curricular;"[""#predominio_metodologia_tradicional"", ""#integracao_teoria_pratica_deficiente"", ""#protagonismo_discente_insuficiente""]";"Predomínio de metodologias tradicionais de ensino em detrimento de metodologias ativas; adoção meramente pontual e assistemática de inovações pedagógicas; fragilidade no estímulo ao protagonismo e à ação discente; e integração insuficiente entre teoria e prática no percurso formativo."
1.7;Campus  Politécnico;GEOLOGIA (Bacharelado);4,00;2251355;No entanto, embora o curso demonstre procedimentos consistentes para a operacionalização, controle e acompanhamento do estágio supervisionado, não foram identificadas evidências documentais que demonstrem que os resultados dessas experiências estejam sendo sistematicamente utilizados como insumos para atualização das práticas de estágio e revisão curricular. Também não foram identificadas práticas consolidadas de retroalimentação entre a COE, a coordenação do curso e o Núcleo Docente Estruturante (NDE) que formalizem essa integração de forma contínua e crítica.;Gestão e Feedback;"[""#retroalimentacao_curricular"", ""#gestao_de_estagios"", ""#evidencias_NDE_COE""]";"Ausência de evidências documentais do uso dos resultados de estágios para atualização curricular; falta de fluxos formalizados de retroalimentação entre COE, coordenação e NDE; inexistência de integração crítica e contínua dos inputs do estágio na gestão pedagógica."
1.7;Campus  Politécnico;MATEMÁTICA INDUSTRIAL (Bacharelado);4,00;2251358;O estágio curricular supervisionado está institucionalizado. Há regulamentação própria, manual e resoluções específicas que tratam do assunto, em ambas as modalidades previstas, estágio obrigatório e estágio não obrigatório. No âmbito do curso há uma Comissão Orientadora de Estágios (COE) que coordena os estágios dos alunos e o cumprimento das normas relacionadas. Para realização dos estágios há a exigência do aluno ter cumprido no mínimo de 80% de aprovação nas disciplinas dos 4 (quatro) primeiros períodos do Curso. O estágio curricular obrigatório, visa principalmente, o desenvolvimento de projeto específico executado em empresa ou indústria, e está organizado da seguinte forma: Estágio Supervisionado I, no sétimo semestre com carga horária de 120 horas e Estágio Supervisionado II, no oitavo semestre com carga horária de 120 horas. O acompanhamento do discente no estágio obrigatório é realizado por professor que orienta na organização, desenvolvimento e conclusão de projeto específico. O projeto oriundo do estágio é apresentado para uma banca examinadora composta de 3 professores. O estágio desenvolvido integra ensino e o mundo do trabalho, atendendo aos objetivos do curso e ao desenvolvimento das competências relacionadas ao perfil de egresso estabelecido no PPC (2020).;Projeto Pedagógico e Curricular;"[""#acompanhamento_externo_fragil"", ""#gestao_de_feedbacks"", ""#integracao_teoria_pratica""]";A justificativa foca excessivamente na formalidade administrativa e burocrática (resoluções e carga horária), mas falha em detalhar a sistemática de acompanhamento e avaliação de desempenho pelo supervisor da empresa (campo de estágio). Além disso, não há menção à participação de profissionais do mercado na banca examinadora ou a existência de mecanismos de feedback contínuos para retroalimentar o PPC a partir das demandas industriais.
